(1.2203733443613085, -34): (1, 0) (1, 1) (1, 0) (1, 0) (1, 1) (1, 1) (0, 1) (0, 1) (1, 1) (0, 1) (1, 0) (1, 1) (0, 1) (0, 1) (0, 0) (0, 0) (0, 0) (0, 0) (1, 1) (1, 0) (0, 1) (0, 1) (1, 0) (1, 1) (1, 0) (1, 1) (1, 1) (1, 0) (0, 1) (0, 0) (1, 1) (0, 1) (1, 0) (0, 1) (1, 0) (0, 1) (0, 1) (1, 0) (0, 1) (0, 1) (1, 0) (0, 1) (1, 0) (0, 1) (0, 1) (1, 1) (0, 0) (0, 1) (1, 0) (0, 1) (1, 1) (0, 0) (0, 0) (0, 0) (1, 0) (0, 1) (1, 0) (0, 0) (0, 0) (1, 0) (1, 0) (1, 0) (1, 1) (0, 1) 
(1.9009440550839187, -36): (1, 0) (1, 1) (0, 0) (1, 0) (1, 1) (1, 1) (1, 1) (0, 1) (1, 1) (0, 1) (1, 0) (1, 0) (0, 1) (1, 1) (0, 0) (0, 0) (0, 0) (0, 0) (1, 0) (1, 1) (0, 1) (0, 1) (1, 0) (1, 1) (1, 0) (1, 1) (1, 0) (0, 1) (0, 1) (1, 0) (1, 1) (0, 1) (1, 0) (0, 1) (1, 0) (1, 1) (1, 0) (1, 0) (0, 1) (0, 1) (1, 0) (0, 1) (0, 0) (0, 1) (1, 1) (1, 1) (0, 0) (0, 1) (1, 0) (0, 1) (1, 1) (0, 0) (0, 0) (0, 0) (1, 0) (0, 1) (1, 0) (0, 0) (0, 1) (1, 0) (1, 0) (1, 0) (1, 0) (0, 1) 
(1.335738685123778, -27): (1, 0) (1, 1) (0, 0) (1, 1) (0, 1) (1, 0) (1, 1) (0, 1) (1, 1) (0, 1) (1, 0) (0, 0) (1, 1) (1, 1) (0, 0) (0, 0) (0, 0) (0, 0) (1, 0) (1, 1) (0, 1) (0, 0) (1, 0) (1, 0) (1, 0) (1, 1) (1, 1) (0, 0) (0, 0) (1, 0) (1, 1) (1, 1) (1, 0) (0, 1) (0, 1) (1, 1) (1, 1) (1, 0) (0, 1) (0, 1) (1, 0) (0, 1) (0, 0) (0, 1) (0, 1) (1, 1) (0, 0) (0, 1) (1, 0) (1, 1) (1, 1) (0, 0) (0, 0) (0, 1) (1, 0) (0, 0) (1, 0) (0, 0) (0, 1) (1, 0) (1, 1) (0, 0) (1, 0) (1, 1) 
(1.81937623473141, -30): (1, 0) (1, 1) (0, 0) (1, 1) (0, 0) (1, 0) (1, 1) (0, 1) (1, 1) (0, 1) (1, 0) (1, 0) (1, 1) (1, 1) (0, 1) (0, 0) (0, 0) (0, 1) (1, 0) (1, 1) (0, 1) (0, 0) (0, 0) (1, 0) (1, 0) (0, 1) (1, 1) (0, 0) (0, 0) (1, 1) (1, 1) (1, 1) (1, 0) (0, 1) (0, 1) (1, 1) (1, 1) (0, 0) (0, 1) (0, 1) (1, 1) (0, 0) (0, 0) (0, 1) (0, 1) (1, 1) (0, 1) (0, 1) (0, 0) (1, 1) (1, 1) (0, 1) (0, 0) (0, 1) (0, 1) (0, 0) (1, 0) (0, 0) (1, 1) (0, 0) (1, 1) (0, 0) (0, 0) (1, 1) 
(1.2085713506188576, -31): (1, 0) (1, 1) (0, 0) (1, 0) (0, 0) (1, 0) (1, 1) (0, 1) (1, 1) (0, 1) (1, 0) (1, 0) (1, 1) (1, 1) (0, 1) (0, 0) (0, 0) (0, 1) (1, 0) (1, 1) (0, 1) (0, 0) (0, 0) (1, 0) (1, 0) (0, 0) (1, 1) (0, 0) (0, 0) (1, 1) (1, 1) (1, 1) (1, 0) (1, 1) (0, 1) (1, 1) (1, 1) (0, 0) (0, 1) (0, 1) (1, 1) (0, 0) (0, 0) (0, 1) (0, 1) (1, 1) (0, 1) (0, 1) (1, 0) (1, 1) (1, 0) (0, 1) (0, 0) (0, 1) (0, 0) (0, 0) (1, 0) (0, 0) (1, 1) (0, 0) (0, 1) (0, 0) (1, 0) (0, 1) 
(1.103588860406079, -30): (1, 0) (1, 1) (0, 0) (1, 0) (0, 0) (1, 0) (1, 1) (0, 1) (1, 1) (0, 1) (1, 0) (1, 0) (1, 1) (1, 1) (0, 1) (0, 0) (0, 0) (0, 1) (1, 0) (1, 1) (0, 1) (0, 0) (0, 0) (1, 0) (1, 0) (0, 1) (1, 1) (0, 0) (0, 1) (1, 1) (1, 1) (1, 0) (1, 0) (0, 1) (0, 1) (0, 1) (0, 1) (0, 1) (0, 1) (1, 1) (1, 0) (0, 0) (0, 0) (1, 1) (0, 1) (0, 1) (0, 1) (0, 1) (1, 0) (1, 1) (1, 0) (0, 1) (1, 1) (0, 1) (0, 0) (0, 1) (1, 0) (0, 0) (1, 1) (0, 0) (0, 1) (0, 0) (1, 0) (0, 1) 
(1.4666942934935252, -28): (1, 0) (1, 1) (0, 0) (1, 0) (0, 0) (1, 0) (1, 1) (0, 1) (1, 1) (0, 1) (1, 0) (1, 0) (1, 1) (1, 1) (0, 1) (0, 1) (0, 0) (0, 1) (1, 0) (1, 1) (0, 1) (0, 0) (0, 0) (0, 0) (1, 0) (0, 1) (1, 1) (0, 1) (0, 0) (1, 1) (1, 1) (1, 0) (1, 0) (0, 1) (0, 1) (0, 0) (1, 1) (0, 1) (0, 1) (1, 1) (1, 0) (0, 0) (0, 0) (1, 1) (0, 0) (0, 1) (0, 1) (0, 1) (1, 0) (1, 1) (1, 0) (0, 1) (1, 1) (1, 1) (0, 0) (0, 1) (1, 0) (0, 0) (1, 1) (0, 0) (0, 1) (0, 0) (1, 0) (0, 1) 
(1.0339415806163124, -27): (1, 0) (1, 1) (0, 0) (1, 0) (0, 0) (1, 0) (1, 1) (0, 0) (1, 0) (0, 1) (1, 0) (1, 0) (1, 1) (1, 1) (0, 1) (1, 1) (1, 0) (0, 1) (1, 0) (1, 1) (0, 1) (0, 0) (0, 0) (0, 0) (1, 0) (0, 1) (1, 1) (0, 1) (0, 0) (1, 1) (1, 1) (1, 0) (1, 0) (0, 1) (0, 1) (0, 0) (1, 1) (1, 1) (0, 1) (1, 1) (1, 0) (0, 0) (0, 0) (1, 1) (0, 0) (0, 0) (0, 1) (0, 1) (1, 0) (1, 1) (1, 0) (0, 1) (1, 1) (1, 1) (0, 0) (0, 1) (1, 0) (0, 0) (1, 1) (0, 0) (0, 1) (0, 0) (1, 0) (0, 1) 
(1.0344779029327098, -28): (1, 1) (1, 1) (0, 0) (1, 0) (0, 0) (1, 0) (1, 1) (0, 0) (0, 0) (0, 1) (1, 0) (1, 0) (1, 1) (1, 1) (0, 1) (1, 1) (1, 0) (0, 1) (1, 0) (1, 1) (0, 1) (0, 0) (0, 0) (0, 0) (1, 0) (0, 1) (1, 1) (0, 1) (0, 0) (1, 0) (1, 1) (1, 0) (1, 0) (1, 1) (0, 1) (0, 0) (1, 1) (1, 1) (0, 1) (0, 1) (1, 1) (0, 0) (0, 0) (1, 1) (0, 0) (0, 0) (0, 1) (0, 1) (0, 0) (1, 1) (1, 0) (0, 1) (1, 1) (1, 1) (0, 0) (0, 1) (1, 0) (0, 0) (1, 1) (0, 0) (0, 1) (0, 0) (1, 0) (0, 1) 
(1.302500222983282, -26): (1, 1) (1, 1) (0, 0) (1, 0) (0, 0) (1, 0) (1, 1) (0, 0) (0, 0) (0, 1) (1, 0) (1, 0) (1, 1) (1, 1) (0, 1) (1, 1) (1, 0) (0, 1) (1, 0) (1, 1) (0, 1) (0, 0) (0, 0) (0, 0) (1, 0) (0, 0) (1, 1) (1, 1) (0, 0) (1, 0) (1, 1) (1, 1) (1, 0) (1, 1) (0, 1) (0, 0) (1, 1) (1, 1) (0, 1) (0, 1) (1, 1) (0, 0) (0, 0) (1, 1) (0, 0) (0, 0) (0, 1) (0, 1) (0, 0) (1, 1) (1, 0) (1, 1) (1, 1) (1, 1) (0, 0) (0, 1) (1, 0) (0, 0) (1, 1) (0, 0) (0, 1) (0, 0) (1, 0) (0, 1) 
