(1.0005576948903603, -22): (0, 1) (0, 0) (0, 0) (0, 1) (0, 0) (0, 0) (1, 0) (1, 1) (0, 1) (1, 1) (1, 1) (0, 1) (1, 1) (1, 0) (1, 1) (0, 1) (0, 0) (0, 1) (0, 1) (0, 0) (0, 1) (1, 0) (0, 0) (0, 0) (1, 1) (0, 1) (1, 0) (1, 0) (0, 1) (1, 1) (1, 0) (1, 0) (0, 0) (0, 1) (1, 1) (1, 0) (0, 1) (0, 0) (1, 1) (1, 0) (1, 0) (0, 0) (0, 0) (1, 0) (0, 0) (1, 1) (0, 1) (1, 1) (1, 1) (1, 1) (1, 1) (1, 0) (1, 0) (1, 1) (0, 1) (0, 1) (0, 1) (0, 1) (0, 1) (1, 1) (1, 1) (0, 1) (0, 0) (0, 0) 
(1.1709127285042116, -25): (1, 1) (0, 0) (0, 0) (0, 1) (0, 0) (0, 1) (1, 0) (1, 1) (1, 1) (1, 1) (1, 1) (1, 1) (1, 1) (0, 0) (1, 1) (0, 1) (0, 0) (0, 1) (0, 0) (0, 1) (0, 1) (1, 0) (0, 0) (1, 0) (1, 1) (0, 1) (1, 0) (0, 0) (0, 1) (1, 1) (1, 0) (1, 0) (0, 0) (0, 1) (1, 1) (1, 0) (0, 1) (0, 0) (1, 1) (1, 0) (1, 0) (0, 0) (0, 0) (1, 0) (0, 0) (1, 0) (0, 1) (1, 1) (1, 1) (1, 1) (1, 1) (1, 0) (1, 0) (1, 1) (0, 1) (0, 1) (0, 0) (0, 1) (0, 1) (1, 1) (1, 1) (0, 1) (0, 0) (0, 0) 
(1.5290059072880968, -26): (0, 0) (0, 0) (0, 0) (0, 0) (0, 0) (0, 1) (1, 0) (1, 1) (1, 1) (1, 1) (1, 1) (1, 1) (1, 1) (1, 0) (1, 1) (0, 0) (0, 0) (1, 1) (0, 0) (0, 1) (0, 1) (1, 0) (0, 0) (1, 0) (1, 1) (0, 1) (1, 0) (0, 0) (0, 1) (1, 1) (1, 0) (1, 1) (0, 0) (0, 1) (1, 1) (1, 0) (0, 1) (0, 0) (1, 1) (0, 1) (1, 0) (1, 0) (0, 0) (1, 0) (0, 0) (1, 0) (0, 1) (0, 1) (1, 1) (1, 1) (1, 1) (1, 1) (1, 0) (1, 1) (0, 1) (0, 1) (0, 1) (0, 1) (1, 1) (0, 1) (1, 1) (0, 1) (0, 0) (0, 0) 
(1.561494232770209, -24): (1, 0) (0, 0) (1, 0) (0, 0) (0, 0) (0, 0) (1, 0) (1, 1) (1, 1) (1, 0) (1, 1) (1, 1) (1, 1) (1, 0) (1, 1) (0, 0) (0, 0) (1, 1) (0, 0) (0, 1) (0, 1) (1, 0) (0, 0) (1, 0) (1, 1) (1, 1) (1, 0) (0, 0) (0, 1) (1, 1) (1, 0) (1, 1) (1, 1) (0, 0) (1, 1) (1, 0) (0, 1) (0, 1) (1, 1) (0, 1) (0, 0) (1, 0) (0, 0) (1, 0) (0, 0) (0, 0) (0, 1) (0, 1) (1, 1) (1, 1) (1, 0) (1, 1) (1, 0) (1, 1) (0, 1) (0, 1) (0, 0) (0, 1) (1, 0) (0, 1) (1, 1) (0, 1) (0, 0) (0, 1) 
(1.4845513956282093, -26): (1, 0) (0, 0) (1, 0) (0, 0) (0, 0) (0, 1) (1, 0) (0, 1) (1, 1) (1, 0) (1, 1) (1, 1) (1, 1) (0, 1) (1, 1) (0, 0) (0, 0) (1, 0) (0, 1) (0, 1) (0, 1) (0, 0) (0, 0) (1, 0) (1, 0) (1, 1) (0, 0) (1, 0) (0, 1) (1, 1) (1, 1) (1, 1) (1, 1) (0, 0) (1, 1) (1, 0) (0, 1) (0, 1) (0, 1) (0, 0) (0, 1) (1, 0) (0, 0) (1, 0) (1, 0) (0, 0) (0, 1) (1, 1) (0, 1) (1, 1) (1, 0) (1, 1) (1, 0) (1, 1) (1, 1) (0, 1) (0, 0) (0, 1) (1, 0) (0, 1) (1, 1) (0, 1) (0, 0) (0, 1) 
(1.3024763635870922, -29): (1, 0) (0, 0) (1, 0) (1, 0) (0, 0) (0, 1) (1, 0) (0, 1) (1, 1) (1, 0) (0, 1) (1, 1) (1, 1) (0, 1) (1, 1) (0, 0) (0, 0) (1, 0) (0, 1) (0, 0) (0, 1) (0, 0) (0, 0) (1, 0) (1, 0) (1, 1) (0, 1) (1, 0) (0, 1) (1, 1) (1, 1) (1, 1) (1, 1) (0, 0) (0, 1) (1, 0) (0, 0) (0, 1) (0, 1) (0, 1) (0, 1) (1, 1) (0, 0) (1, 0) (1, 0) (0, 0) (0, 0) (0, 0) (0, 1) (0, 1) (1, 1) (1, 1) (1, 0) (1, 1) (1, 1) (1, 1) (0, 0) (1, 1) (0, 1) (0, 0) (0, 1) (0, 1) (0, 0) (0, 1) 
(1.0176159008706032, -23): (1, 0) (0, 0) (0, 1) (1, 0) (1, 1) (0, 1) (1, 0) (0, 1) (1, 1) (1, 0) (0, 1) (1, 1) (0, 1) (0, 1) (1, 1) (0, 0) (0, 0) (1, 0) (0, 1) (0, 0) (0, 1) (0, 0) (0, 0) (1, 0) (1, 0) (1, 1) (0, 1) (1, 0) (0, 1) (1, 1) (1, 1) (1, 1) (1, 1) (0, 0) (0, 1) (1, 0) (0, 0) (1, 1) (0, 1) (0, 1) (0, 1) (1, 1) (0, 0) (1, 1) (1, 0) (0, 0) (0, 0) (0, 0) (0, 1) (1, 0) (1, 1) (0, 1) (1, 1) (1, 1) (1, 1) (1, 1) (1, 0) (1, 1) (0, 1) (0, 0) (0, 0) (0, 1) (0, 0) (0, 1) 
(1.1014639084788929, -30): (1, 0) (0, 0) (1, 1) (1, 0) (1, 1) (1, 1) (1, 0) (0, 1) (1, 1) (1, 0) (1, 1) (1, 1) (0, 1) (0, 1) (1, 1) (1, 0) (0, 0) (1, 0) (0, 1) (0, 0) (0, 1) (0, 0) (0, 0) (1, 0) (1, 0) (1, 1) (1, 1) (1, 0) (0, 1) (1, 0) (1, 1) (0, 1) (1, 1) (0, 0) (0, 1) (1, 0) (0, 0) (1, 1) (0, 1) (1, 1) (0, 1) (1, 0) (0, 0) (1, 1) (1, 1) (0, 0) (0, 0) (0, 0) (0, 0) (1, 0) (1, 1) (0, 1) (0, 1) (1, 1) (1, 0) (1, 1) (1, 0) (1, 1) (0, 0) (0, 0) (1, 0) (0, 0) (1, 0) (0, 1) 
(1.191694870914935, -29): (1, 1) (0, 0) (1, 0) (1, 0) (1, 1) (1, 1) (1, 0) (0, 0) (0, 1) (1, 0) (1, 1) (1, 1) (1, 1) (0, 1) (1, 1) (0, 0) (0, 0) (1, 1) (0, 0) (0, 0) (0, 1) (0, 0) (0, 0) (1, 1) (1, 0) (0, 1) (1, 1) (1, 0) (0, 1) (1, 0) (1, 1) (0, 0) (0, 1) (0, 0) (0, 1) (1, 1) (0, 0) (1, 1) (0, 1) (1, 1) (0, 1) (1, 0) (0, 0) (0, 1) (1, 1) (1, 0) (0, 0) (0, 0) (0, 0) (1, 0) (1, 1) (0, 1) (0, 0) (1, 1) (1, 0) (1, 1) (1, 0) (1, 1) (0, 0) (0, 0) (1, 0) (0, 0) (1, 0) (0, 1) 
(1.1914311166874823, -24): (1, 1) (0, 0) (1, 0) (1, 0) (1, 0) (1, 1) (1, 0) (0, 1) (0, 1) (1, 0) (1, 1) (1, 1) (0, 1) (0, 1) (1, 1) (0, 0) (0, 0) (1, 1) (1, 0) (0, 0) (0, 1) (0, 0) (0, 0) (1, 1) (1, 1) (0, 1) (1, 1) (1, 0) (0, 1) (1, 0) (1, 1) (0, 0) (0, 1) (0, 0) (0, 1) (1, 1) (0, 0) (1, 0) (0, 1) (1, 1) (0, 1) (1, 0) (0, 0) (0, 1) (1, 1) (1, 0) (0, 0) (0, 0) (0, 1) (1, 0) (1, 1) (0, 1) (0, 0) (1, 1) (1, 0) (1, 1) (0, 0) (1, 1) (0, 0) (1, 0) (1, 0) (0, 0) (1, 0) (0, 1) 
