(1.9921008986984774, -29): (0, 1) (1, 1) (0, 1) (1, 0) (1, 1) (0, 1) (0, 0) (1, 1) (0, 0) (0, 1) (0, 0) (1, 0) (1, 0) (0, 1) (1, 1) (0, 0) (1, 0) (0, 0) (1, 0) (1, 1) (1, 1) (0, 1) (0, 1) (1, 1) (1, 0) (1, 0) (1, 0) (1, 1) (0, 0) (0, 1) (0, 0) (0, 1) (1, 1) (1, 1) (1, 0) (0, 0) (1, 1) (1, 1) (1, 0) (0, 0) (0, 1) (0, 1) (1, 0) (1, 1) (0, 0) (0, 0) (1, 1) (1, 0) (0, 1) (0, 0) (1, 0) (0, 0) (1, 1) (1, 1) (0, 0) (1, 1) (0, 1) (1, 0) (1, 1) (1, 0) (0, 0) (0, 1) (1, 1) (0, 0) 
(1.7631133013528622, -26): (0, 1) (1, 1) (0, 1) (1, 0) (1, 0) (0, 1) (0, 0) (1, 1) (0, 0) (0, 1) (0, 0) (1, 0) (1, 0) (0, 1) (1, 1) (0, 0) (1, 0) (0, 0) (1, 0) (1, 0) (1, 1) (0, 1) (0, 1) (1, 1) (1, 0) (1, 0) (1, 0) (1, 1) (1, 0) (0, 0) (0, 0) (0, 1) (1, 1) (1, 1) (1, 0) (0, 0) (1, 1) (1, 1) (1, 0) (0, 0) (0, 1) (0, 1) (1, 0) (1, 1) (0, 0) (0, 0) (1, 1) (1, 0) (0, 1) (0, 0) (1, 0) (0, 0) (1, 1) (1, 1) (0, 0) (1, 1) (0, 1) (1, 0) (1, 1) (1, 0) (0, 0) (0, 1) (1, 1) (0, 0) 
(1.7497149337284796, -26): (0, 1) (1, 1) (0, 1) (1, 0) (1, 0) (0, 1) (0, 0) (1, 1) (0, 0) (0, 1) (0, 0) (1, 0) (1, 0) (0, 1) (1, 1) (0, 0) (1, 0) (0, 0) (1, 0) (1, 0) (1, 0) (0, 1) (0, 0) (1, 1) (1, 0) (1, 1) (1, 0) (1, 1) (1, 0) (0, 1) (1, 0) (0, 0) (1, 1) (0, 1) (1, 0) (0, 0) (1, 1) (0, 1) (1, 0) (1, 0) (0, 1) (0, 1) (1, 0) (1, 1) (0, 0) (0, 0) (1, 1) (1, 0) (0, 1) (0, 0) (1, 0) (0, 0) (1, 1) (1, 1) (0, 0) (1, 1) (0, 1) (1, 0) (1, 1) (1, 0) (0, 0) (0, 1) (1, 1) (0, 0) 
(1.681055378141727, -24): (0, 1) (1, 1) (0, 1) (1, 0) (1, 0) (0, 1) (0, 0) (1, 1) (0, 0) (0, 1) (0, 0) (1, 0) (1, 0) (0, 1) (1, 1) (0, 0) (1, 1) (0, 0) (1, 0) (1, 0) (1, 0) (0, 1) (0, 0) (1, 1) (0, 0) (1, 1) (1, 0) (1, 1) (1, 0) (0, 1) (1, 0) (0, 0) (1, 1) (0, 1) (1, 0) (0, 0) (1, 1) (0, 1) (1, 1) (1, 0) (0, 1) (0, 1) (1, 0) (1, 1) (0, 0) (0, 0) (0, 1) (1, 1) (0, 0) (0, 0) (1, 0) (0, 0) (1, 1) (1, 1) (0, 0) (0, 1) (1, 0) (1, 0) (1, 1) (1, 0) (0, 0) (0, 1) (1, 1) (0, 0) 
(1.0474881122902693, -26): (1, 1) (1, 1) (0, 1) (1, 0) (1, 0) (0, 1) (0, 0) (1, 1) (0, 0) (0, 1) (0, 0) (1, 0) (1, 0) (0, 1) (1, 1) (0, 0) (1, 1) (0, 0) (1, 0) (1, 0) (1, 0) (0, 1) (0, 0) (1, 1) (0, 0) (1, 1) (1, 0) (1, 1) (1, 0) (0, 1) (1, 0) (0, 0) (1, 1) (1, 1) (1, 0) (0, 0) (1, 1) (0, 1) (1, 1) (1, 0) (0, 1) (0, 1) (0, 0) (1, 1) (0, 0) (0, 0) (0, 1) (1, 1) (0, 0) (0, 0) (1, 0) (0, 0) (1, 1) (1, 1) (0, 0) (0, 1) (1, 0) (1, 0) (1, 1) (1, 0) (0, 0) (0, 1) (1, 1) (0, 0) 
(1.3209239487044409, -24): (1, 1) (1, 1) (0, 1) (1, 0) (1, 0) (0, 1) (0, 0) (1, 1) (0, 0) (0, 1) (0, 0) (1, 0) (1, 0) (0, 1) (1, 1) (0, 0) (1, 1) (0, 0) (1, 0) (1, 0) (1, 0) (0, 1) (0, 0) (1, 1) (0, 0) (1, 0) (0, 1) (1, 1) (1, 0) (0, 1) (1, 0) (0, 0) (1, 1) (1, 1) (0, 1) (0, 1) (1, 1) (0, 1) (1, 1) (1, 0) (0, 1) (0, 1) (0, 0) (0, 1) (0, 0) (0, 0) (0, 1) (1, 1) (0, 0) (0, 0) (1, 0) (0, 0) (1, 1) (1, 1) (0, 0) (0, 1) (1, 0) (1, 0) (1, 1) (1, 0) (0, 0) (0, 1) (1, 1) (0, 0) 
(1.374856539459247, -27): (1, 1) (1, 1) (0, 1) (1, 0) (1, 0) (0, 1) (0, 0) (1, 1) (0, 0) (0, 1) (0, 0) (1, 0) (1, 0) (0, 1) (1, 1) (0, 0) (1, 1) (0, 0) (1, 1) (1, 1) (1, 0) (0, 1) (0, 0) (1, 1) (0, 0) (1, 0) (1, 1) (0, 1) (1, 0) (0, 1) (1, 0) (0, 0) (1, 1) (1, 1) (0, 1) (0, 1) (1, 1) (0, 1) (1, 1) (1, 0) (0, 1) (0, 1) (0, 0) (0, 1) (0, 0) (0, 0) (0, 1) (1, 1) (0, 0) (0, 0) (1, 0) (0, 0) (1, 1) (1, 1) (0, 0) (0, 1) (1, 0) (1, 0) (1, 1) (1, 1) (0, 0) (0, 1) (1, 1) (0, 0) 
(1.505452543254222, -33): (1, 1) (1, 1) (0, 1) (0, 1) (1, 0) (0, 1) (0, 0) (1, 1) (0, 0) (0, 1) (0, 0) (0, 0) (1, 0) (0, 1) (1, 1) (1, 0) (1, 1) (0, 0) (1, 0) (1, 1) (1, 0) (1, 1) (0, 0) (1, 1) (0, 0) (1, 0) (1, 1) (0, 1) (1, 0) (0, 1) (1, 1) (0, 0) (1, 1) (1, 1) (0, 1) (0, 1) (1, 1) (0, 1) (0, 1) (1, 0) (0, 1) (0, 1) (0, 0) (0, 1) (0, 0) (0, 0) (0, 1) (1, 1) (0, 0) (0, 0) (1, 0) (0, 0) (1, 1) (1, 1) (0, 0) (0, 1) (1, 1) (1, 1) (1, 1) (1, 1) (0, 0) (0, 1) (1, 1) (0, 0) 
(1.6281455867418875, -35): (0, 1) (0, 1) (0, 1) (0, 1) (1, 0) (0, 1) (0, 0) (1, 0) (0, 1) (0, 1) (0, 0) (0, 0) (1, 0) (0, 0) (1, 1) (1, 0) (0, 1) (0, 0) (1, 0) (1, 1) (1, 0) (1, 1) (0, 0) (1, 1) (0, 0) (1, 1) (1, 1) (0, 1) (0, 0) (0, 1) (1, 1) (0, 1) (1, 1) (0, 1) (0, 1) (0, 1) (1, 1) (0, 1) (0, 1) (0, 0) (0, 1) (0, 1) (0, 0) (0, 0) (1, 0) (0, 0) (0, 1) (1, 1) (0, 0) (0, 0) (1, 0) (1, 0) (1, 1) (1, 1) (0, 1) (0, 1) (1, 0) (1, 1) (1, 1) (1, 1) (0, 0) (0, 1) (0, 1) (1, 0) 
(1.4595168385878754, -28): (1, 1) (0, 1) (0, 1) (0, 1) (1, 0) (0, 1) (0, 0) (1, 0) (0, 1) (0, 1) (0, 0) (0, 0) (1, 0) (0, 0) (1, 1) (1, 0) (1, 1) (0, 0) (1, 0) (1, 1) (1, 1) (1, 1) (0, 0) (1, 1) (0, 0) (1, 1) (1, 1) (0, 1) (0, 0) (1, 1) (1, 1) (0, 1) (1, 1) (0, 1) (0, 1) (0, 1) (1, 0) (0, 1) (0, 1) (0, 0) (0, 1) (0, 1) (0, 0) (0, 0) (1, 0) (0, 0) (0, 1) (1, 0) (0, 0) (0, 0) (1, 0) (1, 0) (1, 1) (1, 1) (0, 1) (1, 0) (1, 0) (1, 1) (1, 1) (1, 1) (0, 0) (0, 1) (0, 1) (1, 0) 
(1.1860884744010431, -27): (1, 1) (1, 0) (0, 1) (0, 1) (1, 0) (0, 1) (0, 0) (1, 0) (0, 0) (1, 1) (0, 0) (0, 0) (1, 0) (0, 1) (1, 1) (1, 0) (1, 1) (0, 0) (1, 0) (1, 1) (1, 1) (0, 0) (1, 0) (1, 1) (0, 0) (1, 1) (1, 1) (0, 1) (0, 0) (1, 1) (1, 1) (0, 1) (1, 1) (0, 1) (0, 1) (0, 1) (1, 0) (0, 1) (0, 1) (0, 0) (0, 1) (0, 1) (0, 0) (0, 1) (1, 0) (0, 0) (0, 1) (1, 0) (0, 0) (0, 0) (1, 0) (0, 0) (1, 0) (1, 1) (0, 1) (1, 0) (0, 0) (1, 0) (1, 1) (1, 1) (1, 0) (0, 1) (0, 1) (1, 0) 
