(1.640603911985752, -28): (0, 0) (1, 0) (0, 1) (0, 0) (0, 1) (0, 0) (1, 1) (0, 1) (1, 0) (1, 0) (0, 0) (1, 0) (0, 0) (1, 0) (0, 0) (0, 0) (1, 1) (1, 0) (1, 0) (1, 0) (1, 1) (1, 0) (0, 0) (1, 0) (0, 1) (1, 0) (1, 0) (1, 0) (0, 1) (1, 1) (1, 0) (1, 1) (0, 0) (1, 0) (1, 0) (1, 1) (0, 1) (0, 0) (1, 0) (0, 0) (1, 1) (1, 0) (1, 0) (0, 0) (0, 0) (1, 0) (1, 0) (1, 1) (0, 0) (1, 1) (1, 0) (1, 0) (1, 0) (1, 1) (1, 1) (0, 1) (1, 1) (0, 0) (1, 1) (1, 1) (1, 1) (0, 1) (0, 0) (0, 1) 
(1.1182641395784174, -24): (0, 0) (1, 0) (0, 1) (0, 0) (0, 1) (0, 0) (1, 1) (0, 1) (1, 0) (1, 0) (0, 0) (1, 0) (0, 0) (1, 0) (0, 1) (0, 1) (1, 1) (1, 0) (1, 0) (1, 0) (1, 1) (1, 0) (0, 0) (0, 0) (0, 1) (1, 0) (1, 0) (1, 0) (0, 1) (1, 1) (1, 0) (1, 1) (0, 0) (1, 0) (1, 0) (1, 1) (0, 1) (0, 0) (1, 0) (0, 0) (1, 1) (1, 0) (1, 0) (0, 0) (0, 0) (1, 0) (1, 0) (1, 1) (0, 0) (1, 1) (1, 0) (1, 0) (1, 0) (1, 1) (1, 1) (0, 1) (1, 1) (0, 0) (1, 1) (1, 1) (1, 1) (0, 1) (0, 0) (0, 1) 
(1.530672856238658, -28): (0, 0) (1, 0) (0, 1) (0, 0) (0, 1) (0, 0) (1, 1) (0, 1) (1, 0) (1, 0) (0, 0) (1, 0) (0, 0) (1, 0) (0, 1) (0, 1) (1, 1) (1, 0) (1, 0) (1, 0) (1, 1) (1, 0) (0, 0) (0, 0) (0, 1) (1, 0) (1, 0) (1, 0) (0, 1) (1, 1) (1, 0) (1, 1) (0, 0) (1, 0) (1, 1) (1, 1) (0, 1) (0, 0) (1, 0) (0, 0) (1, 1) (1, 0) (1, 0) (0, 0) (0, 0) (1, 0) (1, 0) (1, 1) (0, 0) (1, 1) (1, 0) (1, 0) (1, 0) (1, 1) (1, 1) (0, 1) (1, 1) (0, 0) (1, 1) (1, 1) (1, 1) (0, 1) (0, 0) (0, 1) 
(1.1182641395784174, -24): (0, 0) (1, 0) (0, 1) (0, 0) (0, 1) (0, 0) (1, 1) (0, 1) (1, 0) (1, 0) (0, 0) (1, 0) (0, 0) (1, 0) (0, 1) (0, 1) (1, 1) (1, 0) (1, 0) (1, 0) (1, 1) (1, 0) (0, 0) (0, 0) (0, 1) (1, 0) (1, 0) (1, 0) (0, 1) (1, 1) (1, 0) (1, 1) (0, 0) (1, 0) (1, 0) (1, 1) (0, 1) (0, 0) (1, 0) (0, 0) (1, 1) (1, 0) (1, 0) (0, 0) (0, 0) (1, 0) (1, 0) (1, 1) (0, 0) (1, 1) (1, 0) (1, 0) (1, 0) (1, 1) (1, 1) (0, 1) (1, 1) (0, 0) (1, 1) (1, 1) (1, 1) (0, 1) (0, 0) (0, 1) 
(1.1182641395784174, -24): (0, 0) (1, 0) (0, 1) (0, 0) (0, 1) (0, 0) (1, 1) (0, 1) (1, 0) (1, 0) (0, 0) (1, 0) (0, 0) (1, 0) (0, 1) (0, 1) (1, 1) (1, 0) (1, 0) (1, 0) (1, 1) (1, 0) (0, 0) (0, 0) (0, 1) (1, 0) (1, 0) (1, 0) (0, 1) (1, 1) (1, 0) (1, 1) (0, 0) (1, 0) (1, 0) (1, 1) (0, 1) (0, 0) (1, 0) (0, 0) (1, 1) (1, 0) (1, 0) (0, 0) (0, 0) (1, 0) (1, 0) (1, 1) (0, 0) (1, 1) (1, 0) (1, 0) (1, 0) (1, 1) (1, 1) (0, 1) (1, 1) (0, 0) (1, 1) (1, 1) (1, 1) (0, 1) (0, 0) (0, 1) 
(1.573147843925215, -28): (0, 0) (1, 0) (0, 1) (0, 0) (0, 1) (0, 0) (1, 1) (0, 1) (1, 0) (1, 0) (0, 0) (1, 0) (0, 0) (1, 0) (0, 1) (0, 1) (1, 1) (1, 0) (1, 0) (1, 0) (1, 1) (1, 0) (0, 0) (0, 0) (1, 1) (1, 0) (1, 0) (1, 0) (0, 1) (1, 1) (1, 0) (1, 1) (0, 0) (1, 0) (1, 0) (1, 1) (0, 1) (0, 0) (1, 0) (0, 0) (1, 1) (1, 0) (1, 0) (0, 0) (0, 0) (1, 0) (1, 0) (1, 1) (0, 0) (1, 1) (1, 0) (1, 0) (1, 0) (1, 1) (1, 1) (0, 1) (1, 1) (0, 0) (1, 1) (1, 1) (1, 1) (0, 1) (0, 0) (0, 1) 
(1.1528291035725096, -24): (0, 0) (1, 0) (0, 1) (0, 0) (0, 1) (0, 0) (1, 1) (0, 1) (1, 0) (1, 0) (0, 0) (1, 0) (0, 0) (1, 0) (0, 1) (0, 1) (1, 0) (1, 0) (1, 0) (1, 1) (1, 1) (1, 0) (0, 0) (0, 0) (1, 1) (1, 0) (1, 0) (0, 0) (0, 1) (1, 1) (1, 0) (1, 1) (0, 0) (1, 0) (1, 0) (1, 1) (0, 1) (0, 0) (1, 0) (0, 0) (1, 1) (1, 0) (1, 0) (0, 0) (0, 0) (1, 0) (1, 0) (1, 1) (0, 0) (1, 1) (1, 0) (1, 0) (1, 0) (1, 1) (1, 1) (0, 1) (1, 1) (0, 0) (1, 1) (1, 1) (1, 1) (0, 1) (0, 0) (0, 1) 
(1.1528291035725096, -24): (0, 0) (1, 0) (0, 1) (0, 0) (0, 1) (0, 0) (1, 1) (0, 1) (1, 0) (1, 0) (0, 0) (1, 0) (0, 0) (1, 0) (0, 1) (0, 1) (1, 0) (1, 0) (1, 0) (1, 1) (1, 1) (1, 0) (0, 0) (0, 0) (1, 1) (1, 0) (1, 0) (0, 0) (0, 1) (1, 1) (1, 0) (1, 1) (0, 0) (1, 0) (1, 0) (1, 1) (0, 1) (0, 0) (1, 0) (0, 0) (1, 1) (1, 0) (1, 0) (0, 0) (0, 0) (1, 0) (1, 0) (1, 1) (0, 0) (1, 1) (1, 0) (1, 0) (1, 0) (1, 1) (1, 1) (0, 1) (1, 1) (0, 0) (1, 1) (1, 1) (1, 1) (0, 1) (0, 0) (0, 1) 
(1.1528291035725096, -24): (0, 0) (1, 0) (0, 1) (0, 0) (0, 1) (0, 0) (1, 1) (0, 1) (1, 0) (1, 0) (0, 0) (1, 0) (0, 0) (1, 0) (0, 1) (0, 1) (1, 0) (1, 0) (1, 0) (1, 1) (1, 1) (1, 0) (0, 0) (0, 0) (1, 1) (1, 0) (1, 0) (0, 0) (0, 1) (1, 1) (1, 0) (1, 1) (0, 0) (1, 0) (1, 0) (1, 1) (0, 1) (0, 0) (1, 0) (0, 0) (1, 1) (1, 0) (1, 0) (0, 0) (0, 0) (1, 0) (1, 0) (1, 1) (0, 0) (1, 1) (1, 0) (1, 0) (1, 0) (1, 1) (1, 1) (0, 1) (1, 1) (0, 0) (1, 1) (1, 1) (1, 1) (0, 1) (0, 0) (0, 1) 
(-1.2281526288227849, -31): (0, 0) (1, 0) (0, 1) (0, 0) (0, 1) (0, 1) (1, 1) (0, 1) (1, 1) (1, 0) (0, 0) (1, 0) (0, 0) (0, 0) (0, 1) (0, 1) (0, 0) (1, 0) (0, 0) (1, 1) (1, 1) (1, 0) (0, 0) (0, 0) (1, 1) (1, 0) (1, 0) (0, 0) (0, 1) (1, 1) (1, 0) (1, 1) (0, 0) (1, 0) (1, 0) (1, 1) (0, 1) (0, 0) (1, 0) (0, 0) (1, 1) (1, 0) (1, 0) (0, 0) (0, 0) (1, 0) (1, 0) (1, 1) (0, 0) (1, 1) (1, 0) (1, 0) (1, 0) (1, 1) (1, 1) (0, 1) (1, 1) (0, 0) (1, 1) (1, 1) (1, 1) (0, 1) (0, 0) (0, 1) 
(1.435487170766417, -28): (1, 0) (1, 0) (1, 1) (0, 0) (0, 1) (0, 1) (1, 1) (0, 1) (1, 1) (1, 0) (0, 1) (1, 0) (1, 0) (0, 0) (0, 1) (0, 1) (0, 0) (1, 0) (0, 0) (1, 1) (1, 1) (1, 0) (0, 0) (0, 0) (1, 1) (1, 0) (1, 0) (0, 0) (0, 1) (1, 1) (1, 0) (1, 1) (0, 0) (1, 0) (1, 0) (1, 1) (0, 1) (0, 0) (1, 0) (0, 0) (1, 1) (1, 0) (1, 0) (0, 0) (0, 0) (1, 0) (1, 0) (1, 1) (0, 0) (1, 1) (1, 0) (1, 0) (1, 0) (1, 1) (1, 1) (0, 1) (1, 0) (0, 0) (1, 0) (1, 1) (1, 1) (0, 1) (0, 0) (0, 1) 
(1.0516074253107421, -24): (1, 0) (1, 0) (1, 1) (0, 0) (0, 0) (0, 1) (1, 1) (0, 1) (1, 1) (1, 0) (0, 1) (1, 0) (1, 0) (0, 0) (0, 1) (0, 1) (0, 0) (1, 0) (0, 0) (1, 1) (1, 1) (1, 0) (0, 0) (0, 0) (1, 1) (1, 0) (1, 0) (0, 0) (0, 1) (1, 1) (1, 0) (1, 1) (0, 0) (1, 0) (1, 0) (1, 1) (0, 1) (0, 0) (1, 0) (0, 0) (1, 1) (1, 0) (1, 0) (0, 0) (0, 0) (1, 0) (1, 0) (1, 1) (0, 0) (1, 1) (1, 0) (1, 0) (1, 0) (1, 1) (1, 1) (0, 1) (1, 0) (0, 0) (1, 0) (1, 1) (1, 1) (0, 1) (0, 0) (0, 1) 
(1.0516074253107421, -24): (1, 0) (1, 0) (1, 1) (0, 0) (0, 0) (0, 1) (1, 1) (0, 1) (1, 1) (1, 0) (0, 1) (1, 0) (1, 0) (0, 0) (0, 1) (0, 1) (0, 0) (1, 0) (0, 0) (1, 1) (1, 1) (1, 0) (0, 0) (0, 0) (1, 1) (1, 0) (1, 0) (0, 0) (0, 1) (1, 1) (1, 0) (1, 1) (0, 0) (1, 0) (1, 0) (1, 1) (0, 1) (0, 0) (1, 0) (0, 0) (1, 1) (1, 0) (1, 0) (0, 0) (0, 0) (1, 0) (1, 0) (1, 1) (0, 0) (1, 1) (1, 0) (1, 0) (1, 0) (1, 1) (1, 1) (0, 1) (1, 0) (0, 0) (1, 0) (1, 1) (1, 1) (0, 1) (0, 0) (0, 1) 
(1.4525829194703643, -34): (1, 0) (1, 0) (1, 1) (0, 0) (0, 0) (0, 1) (1, 1) (0, 1) (1, 1) (1, 0) (0, 1) (1, 0) (1, 0) (0, 0) (0, 1) (0, 1) (0, 0) (1, 1) (0, 0) (1, 1) (1, 1) (1, 0) (0, 0) (0, 0) (1, 1) (0, 0) (1, 0) (1, 0) (0, 1) (1, 1) (1, 0) (1, 1) (0, 0) (1, 0) (1, 0) (1, 1) (0, 1) (0, 0) (1, 0) (0, 0) (1, 1) (1, 0) (1, 0) (0, 0) (0, 0) (1, 0) (1, 0) (1, 1) (0, 0) (1, 1) (1, 0) (1, 0) (1, 0) (1, 1) (1, 1) (0, 1) (1, 0) (0, 0) (0, 0) (1, 1) (1, 1) (0, 0) (0, 0) (0, 1) 
